full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
freestylefly/claude-code,125,125,298,0,0,0,https://github.com/freestylefly/claude-code
chiragjoshi12/claude-code,202,202,234,0,0,1,https://github.com/chiragjoshi12/claude-code
alejandrobalderas/claude-code-from-source,1935,1935,585,5,5,2,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2860,2860,321,6,6,1,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2743,2743,305,5,5,1,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1709,1709,534,6,6,-1,https://github.com/rohitg00/awesome-claude-code-toolkit
mehmoodosman/claude-code,169,169,216,0,0,0,https://github.com/mehmoodosman/claude-code
isboyjc/claude-code,157,157,218,0,0,0,https://github.com/isboyjc/claude-code
AprilNEA/claude-code-source,382,382,613,0,0,0,https://github.com/AprilNEA/claude-code-source
SeemSeam/claude_codex_bridge,2694,2694,264,11,11,1,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1382,1382,509,2,2,1,https://github.com/luyao618/Claude-Code-Source-Study
sickn33/antigravity-awesome-skills,37872,37872,6199,42,42,8,https://github.com/sickn33/antigravity-awesome-skills
anthropics/claude-code-base-action,835,835,603,0,0,0,https://github.com/anthropics/claude-code-base-action
https-deeplearning-ai/sc-claude-code-files,512,512,733,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1015,1015,364,2,2,0,https://github.com/repowise-dev/claude-code-prompts
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,368,368,543,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1433,1433,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
Yeachan-Heo/oh-my-claudecode,34133,34133,3131,38,38,4,https://github.com/Yeachan-Heo/oh-my-claudecode
luongnv89/claude-howto,33359,33359,4083,55,55,6,https://github.com/luongnv89/claude-howto
lowcortisolprogrammer/claude-code,171,171,163,-1,-1,0,https://github.com/lowcortisolprogrammer/claude-code
Pimzino/claude-code-spec-workflow,3735,3735,264,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
carlvellotti/claude-code-pm-course,2025,2025,324,0,0,1,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,502,502,402,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
andrew-kramer-inno/claude-code-source-build,589,589,522,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
Windy3f3f3f3f/claude-code-from-scratch,1220,1220,368,6,6,2,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
nanocoai/nanoclaw,28990,28990,12827,15,15,-3,https://github.com/nanocoai/nanoclaw
wshobson/agents,35573,35573,3868,22,22,1,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,978,978,553,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
router-for-me/CLIProxyAPI,33275,33275,5528,103,103,16,https://github.com/router-for-me/CLIProxyAPI
feiskyer/claude-code-settings,1511,1511,221,0,0,1,https://github.com/feiskyer/claude-code-settings
snarktank/ralph,19204,19204,1908,16,16,3,https://github.com/snarktank/ralph
alirezarezvani/claude-skills,15275,15275,2073,76,76,15,https://github.com/alirezarezvani/claude-skills
sugyan/claude-code-webui,1103,1103,242,2,2,1,https://github.com/sugyan/claude-code-webui
darcyegb/ClaudeCodeAgents,697,697,63,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
farion1231/cc-switch,74108,74108,4805,540,540,23,https://github.com/farion1231/cc-switch
Hyper66666/claude-code-sourcemap,214,214,458,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
anthropics/claude-plugins-official,19635,19635,2465,52,52,7,https://github.com/anthropics/claude-plugins-official
KPR111/Claude-Code,17,17,331,0,0,0,https://github.com/KPR111/Claude-Code
centminmod/my-claude-code-setup,2300,2300,220,2,2,0,https://github.com/centminmod/my-claude-code-setup
catlog22/Claude-Code-Workflow,2014,2014,160,2014,2014,160,https://github.com/catlog22/Claude-Code-Workflow
lst97/claude-code-sub-agents,1563,1563,251,0,0,0,https://github.com/lst97/claude-code-sub-agents
