full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
github/spec-kit,77717,77717,6597,129,129,8,https://github.com/github/spec-kit
Njengah/claude-code-cheat-sheet,1443,1443,183,0,0,0,https://github.com/Njengah/claude-code-cheat-sheet
rizethereum/claude-code-requirements-builder,1757,1757,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
anthropics/claude-plugins-official,12443,12443,1191,40,40,4,https://github.com/anthropics/claude-plugins-official
trailofbits/claude-code-config,1612,1612,122,1,1,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1174,1174,144,-1,-1,0,https://github.com/steipete/claude-code-mcp
slopus/happy,15477,15477,1215,36,36,4,https://github.com/slopus/happy
andrepimenta/claude-code-chat,1005,1005,155,0,0,0,https://github.com/andrepimenta/claude-code-chat
disler/claude-code-hooks-multi-agent-observability,1271,1271,354,0,0,1,https://github.com/disler/claude-code-hooks-multi-agent-observability
catlog22/Claude-Code-Workflow,1485,1485,123,5,5,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,29279,29279,1768,179,179,11,https://github.com/farion1231/cc-switch
simonw/claude-code-transcripts,1137,1137,128,1,1,0,https://github.com/simonw/claude-code-transcripts
JessyTsui/Claude-Code-Remote,1166,1166,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
jeremylongshore/claude-code-plugins-plus-skills,1637,1637,201,4,4,0,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
jarrodwatts/claude-code-config,976,976,122,-1,-1,0,https://github.com/jarrodwatts/claude-code-config
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,2060,2060,332,13,13,0,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
peterkrueck/Claude-Code-Development-Kit,1326,1326,153,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
0xfurai/claude-code-subagents,776,776,143,0,0,0,https://github.com/0xfurai/claude-code-subagents
pchalasani/claude-code-tools,1586,1586,100,1,1,0,https://github.com/pchalasani/claude-code-tools
Alishahryar1/free-claude-code,998,998,120,2,2,1,https://github.com/Alishahryar1/free-claude-code
winfunc/opcode,20967,20967,1620,1,1,1,https://github.com/winfunc/opcode
alirezarezvani/claude-code-tresor,622,622,141,-1,-1,0,https://github.com/alirezarezvani/claude-code-tresor
alirezarezvani/claude-skills,5486,5486,636,50,50,6,https://github.com/alirezarezvani/claude-skills
wasabeef/claude-code-cookbook,1041,1041,110,1,1,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,45008,45008,4558,135,135,15,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,761,761,124,0,0,0,https://github.com/revfactory/claude-code-mastering
d-kimuson/claude-code-viewer,972,972,111,0,0,0,https://github.com/d-kimuson/claude-code-viewer
anthropics/claude-agent-sdk-demos,1733,1733,267,3,3,0,https://github.com/anthropics/claude-agent-sdk-demos
OthmanAdi/planning-with-files,16290,16290,1494,38,38,1,https://github.com/OthmanAdi/planning-with-files
cixingguangming55555/wechat-bot,2533,2533,663,0,0,0,https://github.com/cixingguangming55555/wechat-bot
Yeachan-Heo/oh-my-claudecode,10113,10113,710,66,66,6,https://github.com/Yeachan-Heo/oh-my-claudecode
rohitg00/awesome-claude-code-toolkit,833,833,145,1,1,0,https://github.com/rohitg00/awesome-claude-code-toolkit
ericbuess/claude-code-docs,737,737,105,0,0,0,https://github.com/ericbuess/claude-code-docs
code-yeongyu/oh-my-openagent,40726,40726,3062,94,94,10,https://github.com/code-yeongyu/oh-my-openagent
severity1/claude-code-prompt-improver,1281,1281,109,2,2,0,https://github.com/severity1/claude-code-prompt-improver
anthropics/claude-agent-sdk-python,5514,5514,734,15,15,0,https://github.com/anthropics/claude-agent-sdk-python
numman-ali/openskills,9057,9057,579,13,13,0,https://github.com/numman-ali/openskills
wanshuiyin/Auto-claude-code-research-in-sleep,1882,1882,159,116,116,0,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
daymade/claude-code-skills,664,664,101,2,2,1,https://github.com/daymade/claude-code-skills
ccplugins/awesome-claude-code-plugins,628,628,133,1,1,0,https://github.com/ccplugins/awesome-claude-code-plugins
greggh/claude-code.nvim,1926,1926,62,4,4,0,https://github.com/greggh/claude-code.nvim
anomalyco/opencode,123866,123866,12930,209,209,28,https://github.com/anomalyco/opencode
MadAppGang/claude-code,245,245,25,0,0,0,https://github.com/MadAppGang/claude-code
lyconear/Claude-Code,4,4,147,0,0,0,https://github.com/lyconear/Claude-Code
disler/pi-vs-claude-code,488,488,144,2,2,3,https://github.com/disler/pi-vs-claude-code
PleasePrompto/notebooklm-skill,4618,4618,466,8,8,2,https://github.com/PleasePrompto/notebooklm-skill
BloopAI/vibe-kanban,23323,23323,2290,17,17,2,https://github.com/BloopAI/vibe-kanban
kepano/obsidian-skills,14483,14483,797,48,48,1,https://github.com/kepano/obsidian-skills
